日時,レジーム,戦略,現金(円),評価額(円),総資産(円),損益(円),損益率(%),建玉率(%)
2026-08-25 23:03:30,強気,分散保有,100000,899910,999910,-90,-0.01,90.0
2026-08-26 12:02:24,強気,分散保有,100000,899366,999366,-634,-0.06,90.0
2026-08-26 12:38:40,強気,分散保有,100000,899007,999007,-993,-0.10,90.0
2026-08-26 12:46:02,強気,分散保有,100000,899265,999265,-735,-0.07,90.0
2026-08-26 13:01:46,強気,分散保有,100000,898988,998988,-1012,-0.10,90.0
2026-08-26 13:16:11,強気,分散保有,100000,899207,999207,-793,-0.08,90.0
2026-08-26 13:31:31,強気,分散保有,100000,899012,999012,-988,-0.10,90.0
2026-08-26 13:46:04,強気,分散保有,100000,898897,998897,-1103,-0.11,90.0
2026-08-26 14:01:47,強気,分散保有,100000,899212,999212,-788,-0.08,90.0
2026-08-26 14:16:06,強気,分散保有,100000,899072,999072,-928,-0.09,90.0
2026-08-26 14:31:22,強気,分散保有,100000,899179,999179,-821,-0.08,90.0
2026-08-26 14:46:05,強気,分散保有,100000,899135,999135,-865,-0.09,90.0
2026-08-26 15:01:52,強気,分散保有,100000,899206,999206,-794,-0.08,90.0
2026-08-26 15:16:15,強気,分散保有,100000,899574,999574,-426,-0.04,90.0
2026-08-26 15:31:25,強気,分散保有,100000,899180,999180,-820,-0.08,90.0
2026-08-26 15:46:13,強気,分散保有,100000,899267,999267,-733,-0.07,90.0
2026-08-26 16:01:43,強気,分散保有,100000,899405,999405,-595,-0.06,90.0
2026-08-26 16:16:11,強気,分散保有,100000,899375,999375,-625,-0.06,90.0
2026-08-26 16:31:31,強気,分散保有,100000,899354,999354,-646,-0.06,90.0
2026-08-26 16:46:10,強気,分散保有,100000,899350,999350,-650,-0.06,90.0
2026-08-26 17:01:45,強気,分散保有,100000,899152,999152,-848,-0.08,90.0
2026-08-26 17:16:06,強気,分散保有,100000,899383,999383,-617,-0.06,90.0
2026-08-26 17:31:36,強気,分散保有,100000,899380,999380,-620,-0.06,90.0
2026-08-26 17:46:11,強気,分散保有,100000,899250,999250,-750,-0.07,90.0
2026-08-26 18:01:50,強気,分散保有,100000,899352,999352,-648,-0.06,90.0
2026-08-26 18:16:06,強気,分散保有,100000,899091,999091,-909,-0.09,90.0
2026-08-26 18:31:32,強気,分散保有,100000,898824,998824,-1176,-0.12,90.0
2026-08-26 18:46:08,強気,分散保有,100000,898856,998856,-1144,-0.11,90.0
2026-08-26 19:01:46,強気,分散保有,100000,898965,998965,-1035,-0.10,90.0
2026-08-26 19:16:11,強気,分散保有,100000,898973,998973,-1027,-0.10,90.0
2026-08-26 19:31:33,強気,分散保有,100000,898922,998922,-1078,-0.11,90.0
2026-08-26 19:46:07,強気,分散保有,100000,899200,999200,-800,-0.08,90.0
2026-08-26 20:01:44,強気,分散保有,100000,899213,999213,-787,-0.08,90.0
2026-08-26 20:16:07,強気,分散保有,100000,899602,999602,-398,-0.04,90.0
2026-08-26 20:31:30,強気,分散保有,100000,899726,999726,-274,-0.03,90.0
2026-08-26 20:46:13,強気,分散保有,100000,899770,999770,-230,-0.02,90.0
2026-08-26 21:01:43,強気,分散保有,100000,899679,999679,-321,-0.03,90.0
2026-08-26 21:16:06,強気,分散保有,100000,899842,999842,-158,-0.02,90.0
2026-08-26 21:31:32,強気,分散保有,100000,899284,999284,-716,-0.07,90.0
2026-08-26 21:46:12,強気,分散保有,100000,899479,999479,-521,-0.05,90.0
2026-08-26 22:01:44,強気,分散保有,100000,899640,999640,-360,-0.04,90.0
2026-08-26 22:16:10,強気,分散保有,100000,899713,999713,-287,-0.03,90.0
2026-08-26 22:31:40,強気,分散保有,100000,899894,999894,-106,-0.01,90.0
2026-08-26 22:46:12,強気,分散保有,100000,900107,1000107,107,0.01,90.0
2026-08-26 23:01:51,強気,分散保有,100000,899887,999887,-113,-0.01,90.0
2026-08-26 23:16:12,強気,分散保有,100000,899805,999805,-195,-0.02,90.0
2026-08-26 23:31:34,強気,分散保有,100000,899474,999474,-526,-0.05,90.0
2026-08-26 23:46:08,強気,分散保有,100000,899494,999494,-506,-0.05,90.0
2026-08-27 00:46:06,強気,分散保有,100000,899423,999423,-577,-0.06,90.0
2026-08-27 01:01:43,強気,分散保有,100000,899406,999406,-594,-0.06,90.0
2026-08-27 01:16:19,強気,分散保有,100000,899369,999369,-631,-0.06,90.0
2026-08-27 01:31:27,強気,分散保有,100000,899554,999554,-446,-0.04,90.0
2026-08-27 01:46:18,強気,分散保有,100000,899438,999438,-562,-0.06,90.0
2026-08-27 02:01:48,強気,分散保有,100000,899677,999677,-323,-0.03,90.0
2026-08-27 02:16:21,強気,分散保有,100000,899709,999709,-291,-0.03,90.0
2026-08-27 02:31:32,強気,分散保有,100000,899745,999745,-255,-0.03,90.0
2026-08-27 02:46:19,強気,分散保有,100000,899880,999880,-120,-0.01,90.0
2026-08-27 03:01:50,強気,分散保有,100000,899880,999880,-120,-0.01,90.0
2026-08-27 03:16:09,強気,分散保有,100000,899865,999865,-135,-0.01,90.0
2026-08-27 03:31:27,強気,分散保有,100000,899803,999803,-197,-0.02,90.0
2026-08-27 03:46:04,強気,分散保有,100000,899787,999787,-213,-0.02,90.0
2026-08-27 04:01:46,強気,分散保有,100000,899791,999791,-209,-0.02,90.0
2026-08-27 04:16:08,強気,分散保有,100000,899684,999684,-316,-0.03,90.0
2026-08-27 04:31:31,強気,分散保有,100000,899641,999641,-359,-0.04,90.0
2026-08-27 04:46:08,強気,分散保有,100000,899550,999550,-450,-0.04,90.0
2026-08-27 05:01:46,強気,分散保有,100000,899627,999627,-373,-0.04,90.0
2026-08-27 05:16:05,強気,分散保有,100000,899582,999582,-418,-0.04,90.0
